x, y, z
0.002712, 0.000950, 0.004043
0.001023, 0.000357, 0.002085
0.004154, 0.000047, 0.000786
0.000775, 0.000493, 0.001477
0.004009, 0.002873, 0.002242
0.003762, 0.003054, 0.001506
0.003309, 0.001165, 0.001382
0.003516, 0.002858, 0.003960
0.002054, 0.001156, 0.000658
0.002565, 0.003194, 0.002517
0.001854, 0.001564, 0.003468
0.001555, 0.002587, 0.003825
0.003640, 0.002399, 0.003871
0.000084, 0.003174, 0.000022
0.001562, 0.002840, 0.002895
0.003803, 0.002261, 0.001606
0.000967, 0.001228, 0.002771
0.002349, 0.000402, 0.001287
0.001967, 0.002457, 0.002443
0.002626, 0.000679, 0.001294
0.000801, 0.002533, 0.002858
0.004268, 0.004088, 0.001103
0.003751, 0.003386, 0.003502
0.003281, 0.003470, 0.002333
0.003303, 0.000690, 0.000832
0.001855, 0.000151, 0.003092
0.003462, 0.001118, 0.004321
0.001891, 0.003468, 0.000381
0.003178, 0.001093, 0.002838
0.001279, 0.003718, 0.003517
0.002573, 0.000177, 0.001708
0.001090, 0.000104, 0.001454
0.002193, 0.003855, 0.000498
0.001353, 0.002793, 0.003969
0.003686, 0.001754, 0.000317
0.000176, 0.003609, 0.000468
0.003268, 0.002729, 0.001587
0.003246, 0.000278, 0.000712
0.003627, 0.003456, 0.001805
0.002123, 0.000393, 0.001181
0.001298, 0.002966, 0.001359
0.003006, 0.004056, 0.001462
0.000119, 0.001907, 0.000975
0.000617, 0.003259, 0.003768
0.000244, 0.002603, 0.001180
0.000561, 0.002779, 0.000447
0.001029, 0.001705, 0.003176
0.002616, 0.000609, 0.003454
0.003328, 0.004237, 0.002568
0.000792, 0.002018, 0.002962
0.001973, 0.003315, 0.001586
0.003332, 0.001980, 0.001300
0.000452, 0.002098, 0.003207
0.001427, 0.002715, 0.002124
0.000853, 0.002959, 0.000385
0.002033, 0.003520, 0.003164
0.002480, 0.000207, 0.000527
0.001314, 0.002824, 0.001136
0.000426, 0.001810, 0.001031
0.002995, 0.002601, 0.003049
0.001615, 0.000233, 0.002022
0.003200, 0.003564, 0.004002
0.000158, 0.004016, 0.001758
0.003365, 0.001101, 0.000131
0.001147, 0.001953, 0.003090
0.001532, 0.003986, 0.002268
0.000354, 0.002124, 0.002476
0.000881, 0.003439, 0.000957
0.002017, 0.003865, 0.002767
0.003048, 0.002518, 0.001027
0.001755, 0.004133, 0.001259
0.003777, 0.002991, 0.000482
0.003437, 0.003149, 0.000155
0.000852, 0.002172, 0.001256
0.000983, 0.003319, 0.003210
0.004074, 0.000509, 0.002854
0.002000, 0.000863, 0.000636
0.000134, 0.001744, 0.004075
0.001092, 0.003761, 0.003598
0.003859, 0.002468, 0.001774
0.000544, 0.004223, 0.001565
0.001803, 0.003658, 0.000214
0.002285, 0.002753, 0.003363
0.002440, 0.003605, 0.001194
0.003696, 0.000247, 0.000170
0.002564, 0.004320, 0.000679
0.001076, 0.001978, 0.001542
0.001712, 0.002113, 0.003286
0.001445, 0.003204, 0.002706
0.000702, 0.002721, 0.000832
0.002476, 0.003265, 0.000713
0.004041, 0.000726, 0.000029
0.004255, 0.003011, 0.002781
0.003277, 0.001109, 0.002044
0.000128, 0.000464, 0.002291
0.000299, 0.003028, 0.002269
0.000978, 0.004104, 0.004248
0.002520, 0.001474, 0.002018
0.001464, 0.002920, 0.000880
0.004170, 0.003621, 0.003602
